,Page,URL
69,7,https://www.thesun.co.uk/news/16459607/spies-breaking-point-keep-tabs-radicalised-bedroom-fanatics/
70,8,https://www.thesun.co.uk/news/16414673/eu-scraps-four-in-five-checks-britain-northern-ireland/
71,8,https://www.thesun.co.uk/news/16391089/business-secretary-treasury-gas-bill-bailout/
72,8,https://www.thesun.co.uk/news/16390592/plans-hike-gas-bills-despite-soaring-energy-costs/
73,8,https://www.thesun.co.uk/news/16381674/russia-stole-formula-oxfords-covid-jab/
74,8,https://www.thesun.co.uk/news/16359794/military-head-rowed-armed-forces-chief-took-own-life/
75,8,https://www.thesun.co.uk/money/16359504/brits-council-tax-hike-in-two-decades/
76,8,https://www.thesun.co.uk/news/16337309/boris-johnson-blast-cameron-may-lacking-guts-fix-britain/
77,8,https://www.thesun.co.uk/news/16336588/france-swiped-five-million-covid-vaccine-doses-britain/
78,8,https://www.thesun.co.uk/news/16332815/brit-ex-soldier-ben-slater-released-taliban-captured-jihadis/
79,8,https://www.thesun.co.uk/news/16326518/former-royal-marines-head-takes-own-life/
80,9,https://www.thesun.co.uk/news/16326738/rishi-sunak-financial-black-hole/
81,9,https://www.thesun.co.uk/news/16318560/petrol-station-delivery-army/
82,9,https://www.thesun.co.uk/news/16317960/boris-johnson-demanded-firms-pay-rise-hike-taxes-again/
83,9,https://www.thesun.co.uk/news/16307103/michael-gove-next-james-bond-man-unlikely-actor/
84,9,https://www.thesun.co.uk/news/16306919/boris-gove-wrong-admits-leadership/
85,9,https://www.thesun.co.uk/news/16306313/gove-warns-level-up-fail/
86,9,https://www.thesun.co.uk/money/16295945/council-tax-bill-hike-socail-care/
87,9,https://www.thesun.co.uk/news/16296106/home-secretary-get-afghan-girls-football-squad-uk/
88,9,https://www.thesun.co.uk/news/16272164/boris-johnson-petrol-crisis-stabilising-christmas/
89,9,https://www.thesun.co.uk/news/16272637/royal-navy-gunboats-channel-french-blockade/
90,10,https://www.thesun.co.uk/news/16260469/petrol-starved-drivers-government-chaos/
91,10,https://www.thesun.co.uk/news/16236629/afghan-girls-football-team-plead-for-uk-visas/
92,10,https://www.thesun.co.uk/news/16226643/boris-johnson-northern-ireland-tunnel-axed/
93,10,https://www.thesun.co.uk/news/16216799/doctors-return-seeing-patient-save-lives-boris-johnson/
94,10,https://www.thesun.co.uk/news/16217278/pm-says-us-visit-exceeded-all-expectations/
95,10,https://www.thesun.co.uk/news/16215923/boris-johnson-emmanuel-macron-get-a-grip-france/
96,10,https://www.thesun.co.uk/news/16204849/britain-could-join-us-free-trade-deal/
97,10,https://www.thesun.co.uk/news/16195427/pm-admits-uncertain-christmas-covid-supply-chain/
98,10,https://www.thesun.co.uk/news/16195317/boris-johnson-covid-bummer-meeting-brazilian-bolsonaro/
99,10,https://www.thesun.co.uk/news/politics/16191455/frustrated-boris-johnson-skewers-leaders-over-climate/
100,11,https://www.thesun.co.uk/travel/16190595/us-uk-travel/
101,11,https://www.thesun.co.uk/news/politics/16188720/boris-johnson-says-booster-jabs-before-world/
102,11,https://www.thesun.co.uk/news/16185669/boris-joe-biden-covid-travel-ban-double-jabbed-brits/
103,11,https://www.thesun.co.uk/news/16185714/boris-johnson-emmanuel-macron-chill-out/
104,11,https://www.thesun.co.uk/news/16184610/boris-johnson-jets-to-ny-in-border-bid/
105,11,https://www.thesun.co.uk/news/16163699/boris-johnson-reshuffle-promotes-rising-star-women/
106,11,https://www.thesun.co.uk/news/16163273/nadine-dorries-war-on-woke-art-projects/
107,11,https://www.thesun.co.uk/news/16151978/gavin-williamson-sacked-cabinet-reshuffle/
108,11,https://www.thesun.co.uk/health/16130203/over-50s-covid-booster-christmas/
109,11,https://www.thesun.co.uk/health/16123559/kids-over-12-will-receive-a-single-dose-of-the-covid-jab/
110,12,https://www.thesun.co.uk/news/16120473/priti-patel-reckless-secret-meetings/
111,12,https://www.thesun.co.uk/news/16120287/pm-faces-backlash-over-tax-rises-from-tories/
112,12,https://www.thesun.co.uk/news/16119908/covid-restrictions-christmas-boris-johnson/
113,12,https://www.thesun.co.uk/news/16119685/probe-after-ecstasy-letter-from-parliament/
114,12,https://www.thesun.co.uk/news/16107633/sir-keir-starmer-stop-brexit-second-referendum/
115,12,https://www.thesun.co.uk/news/16106868/gavin-williamson-biggest-stshow-on-government-book/
116,12,https://www.thesun.co.uk/news/16096728/pm-covid-passports-winter-lockdown/
117,12,https://www.thesun.co.uk/news/16086689/453-million-day-nhs-social-care/
118,12,https://www.thesun.co.uk/news/16078117/boris-johnson-u-turn-manifesto-36billion-tax-hike-nhs/
119,12,https://www.thesun.co.uk/news/16077915/boris-johnson-tax-hikes-social-care-overhaul/
120,13,https://www.thesun.co.uk/news/politics/16070847/boris-johnson-to-unveil-new-tax-on-shareholder-profits/
121,13,https://www.thesun.co.uk/news/16068044/boris-johnson-tax-hike-nhs-recover-covid/
122,13,https://www.thesun.co.uk/news/politics/15920968/dominic-raab-finally-joins-tory-foreign-affairs-group/
123,13,https://www.thesun.co.uk/news/15878470/priti-patel-french-patrol-fury/
124,13,https://www.thesun.co.uk/news/15833895/boris-johnson-red-wall-voters-green-revolution-whatsapp/
125,13,https://www.thesun.co.uk/news/15833353/red-arrows-smoke-trails-green/
126,13,https://www.thesun.co.uk/news/15825108/kwasi-kwarteng-government-gas-boiler/
127,13,https://www.thesun.co.uk/news/15824574/back-to-office-workers-confusion-docked-wages/
128,13,https://www.thesun.co.uk/sport/15824023/jason-laura-kenny-to-become-sir-and-dame/
129,13,https://www.thesun.co.uk/news/15815013/pop-up-housing-migrants-channel/
130,14,https://www.thesun.co.uk/news/15783545/drop-in-controls-on-thugs/
131,14,https://www.thesun.co.uk/news/15772489/brits-red-wall-areas-third-likely-murdered-pm-vow/
132,14,https://www.thesun.co.uk/news/15771986/boris-johnson-traffic-light-staycation/
133,14,https://www.thesun.co.uk/news/15771452/brits-facing-norovirus-epidemic-covid/
134,14,https://www.thesun.co.uk/news/15771120/teenagers-offered-covid-vaccine-new-school-year/
135,14,https://www.thesun.co.uk/news/15761703/pm-threatens-iran-with-retaliation-for-killing-of-brit-in-drone-strike/
136,14,https://www.thesun.co.uk/news/15761501/kids-from-poorest-parts-of-britain-twice-as-likely-to-be-mugged/
137,14,https://www.thesun.co.uk/news/15753883/new-film-studio-4500-jobs/
138,14,https://www.thesun.co.uk/news/15753904/carrie-johnson-brave-miscarriage-support-groups/
139,14,https://www.thesun.co.uk/news/15753501/tory-backbench-revolt-amber-watchlist/
140,15,https://www.thesun.co.uk/news/15753219/angry-travel-bosses-demand-boris-johnson-follow-europe-and-open-up-britains-borders/
141,15,https://www.thesun.co.uk/news/15752885/deliveroo-uber-offer-discounts-jabbed-students/
142,15,https://www.thesun.co.uk/news/15752653/shocking-figures-show-cops-charged-just-7-of-violent-criminals-last-year/
143,15,https://www.thesun.co.uk/news/15750834/uber-offers-discounts-young-brits-vaccinated/
144,15,https://www.thesun.co.uk/news/15740865/pm-dog-dilyn-neutered-stop-him-humping-legs/
145,15,https://www.thesun.co.uk/news/15740321/keir-starmer-more-positions-than-kama-sutra/
146,15,https://www.thesun.co.uk/news/15730259/britain-political-boycott-winter-olympics-china/
147,15,https://www.thesun.co.uk/news/politics/15715133/boris-johnson-shoots-down-journalist-jail-plans/
148,15,https://www.thesun.co.uk/news/15710108/covid-cases-fell-seventh-day/
149,15,https://www.thesun.co.uk/news/politics/15710272/michael-gove-refuse-covid-vaccine-selfish/
150,16,https://www.thesun.co.uk/news/15709775/boris-johnson-gift-kenya-astrazeneca-jab/
151,16,https://www.thesun.co.uk/news/15699645/burglars-thieves-electronically-tagged-reoffending/
152,16,https://www.thesun.co.uk/news/15698403/binmen-soldiers-prison-key-workers-exempt-isolation/
153,16,https://www.thesun.co.uk/news/15667110/data-chief-whistle-blowers-hancock-raids/
154,16,https://www.thesun.co.uk/news/15666769/national-insurance-social-care-cabinet/
155,16,https://www.thesun.co.uk/news/15647373/pm-shelves-fixing-social-care-hike-national-insurance/
156,16,https://www.thesun.co.uk/news/15646150/eu-demands-spanish-boots-on-the-rock/
157,16,https://www.thesun.co.uk/news/15636512/clubbers-proof-covid-vaccine/
158,16,https://www.thesun.co.uk/news/politics/15636214/national-insurance-hike-to-pay-for-social-care/
159,16,https://www.thesun.co.uk/news/15615562/boris-johnson-tax-social-care/
160,17,https://www.thesun.co.uk/news/15604704/matt-hancock-swoop-computers-seized/
